Direction,Visa Type,Category,Value
Overseas migrant arrivals,Permanent visas,Family,21100
Overseas migrant arrivals,Permanent visas,Skilled (permanent),35390
Overseas migrant arrivals,Permanent visas,Special eligibility & humanitarian,12970
Overseas migrant arrivals,Permanent visas,Other (permanent),10930
Overseas migrant arrivals,Temporary visas,Student - vocational education and training,38140
Overseas migrant arrivals,Temporary visas,Student - higher education,177400
Overseas migrant arrivals,Temporary visas,Student - other,62220
Overseas migrant arrivals,Temporary visas,Skilled (temporary),49250
Overseas migrant arrivals,Temporary visas,Working holiday,73670
Overseas migrant arrivals,Temporary visas,Visitors,108350
Overseas migrant arrivals,Temporary visas,Other (temporary),47600

