Year,Country_Grouped,Migration
2004-05,Others,103400
2004-05,"UK, CIs & IOM",22470
2004-05,China,19090
2004-05,India,16340
2005-06,Others,117040
2005-06,"UK, CIs & IOM",27690
2005-06,India,21820
2005-06,China,19970
2006-07,Others,148960
2006-07,India,37080
2006-07,"UK, CIs & IOM",31720
2006-07,China,27880
2007-08,Others,173130
2007-08,India,49780
2007-08,China,36340
2007-08,"UK, CIs & IOM",33410
2008-09,Others,178660
2008-09,India,59960
2008-09,China,33590
2008-09,"UK, CIs & IOM",30030
2009-10,Others,126550
2009-10,China,28340
2009-10,India,24060
2009-10,"UK, CIs & IOM",20860
2010-11,Others,136850
2010-11,"UK, CIs & IOM",24820
2010-11,China,17680
2010-11,India,9230
2011-12,Others,174360
2011-12,"UK, CIs & IOM",31430
2011-12,India,18760
2011-12,China,15510
2012-13,Others,168950
2012-13,"UK, CIs & IOM",25020
2012-13,India,23670
2012-13,China,22580
2013-14,Others,130750
2013-14,India,33340
2013-14,China,30800
2013-14,"UK, CIs & IOM",12260
2014-15,Others,120240
2014-15,China,39070
2014-15,India,38400
2014-15,"UK, CIs & IOM",9400
2015-16,Others,132270
2015-16,China,45480
2015-16,India,40860
2015-16,"UK, CIs & IOM",9140
2016-17,Others,169120
2016-17,China,50020
2016-17,India,49730
2016-17,"UK, CIs & IOM",10460
2017-18,Others,145430
2017-18,India,55860
2017-18,China,44610
2017-18,"UK, CIs & IOM",7830
2018-19,Others,153000
2018-19,India,73190
2018-19,China,20170
2018-19,"UK, CIs & IOM",7440
2019-20,Others,122760
2019-20,India,59810
2019-20,"UK, CIs & IOM",10670
2019-20,China,-18590
2020-21,"UK, CIs & IOM",-960
2020-21,India,-10650
2020-21,Others,-30580
2020-21,China,-50270
2021-22,Others,157960
2021-22,India,43080
2021-22,China,14720
2021-22,"UK, CIs & IOM",2400
2022-23,Others,388540
2022-23,India,94840
2022-23,China,59530
2022-23,"UK, CIs & IOM",19300
2023-24(e),Others,323820
2023-24(e),India,72360
2023-24(e),China,49720
2023-24(e),"UK, CIs & IOM",21200
