Year,State,Net_Overseas_Migration,Population,Net_Migration_per_1000
1981,Australian Capital Territory,267.5,228615.66666666663,1.170086039597753
1981,New South Wales,13289.5,5250412.666666667,2.5311343781358646
1981,Northern Territory,347.5,125173.33333333331,2.77615040477205
1981,Queensland,4527.5,2366876.0,1.9128589752906364
1981,South Australia,2485.5,1321726.6666666667,1.8804947064193807
1981,Tasmania,285.0,427810.6666666667,0.6661825480430594
1981,Victoria,8371.0,3957549.3333333335,2.1151978901421145
1981,Western Australia,4738.0,1310520.3333333333,3.61535786930433
1982,Australian Capital Territory,244.75,233202.25,1.049518175746589
1982,New South Wales,9636.25,5308441.5,1.8152691331344613
1982,Northern Territory,150.75,131052.0,1.1503067484662577
1982,Queensland,3541.5,2432582.0,1.455860480756661
1982,South Australia,1766.75,1332912.75,1.325480606288746
1982,Tasmania,190.25,430143.0,0.44229477173870085
1982,Victoria,6240.0,3997278.5,1.5610621076314797
1982,Western Australia,3906.75,1342916.5,2.909153324127003
1983,Australian Capital Territory,142.75,239497.25,0.5960402468086794
1983,New South Wales,5021.0,5358911.25,0.9369440481030545
1983,Northern Territory,203.75,136976.5,1.4874814292962661
1983,Queensland,1144.5,2487162.25,0.46016298293366265
1983,South Australia,1296.0,1347682.25,0.9616510123213392
1983,Tasmania,152.25,433369.75,0.3513166297370779
1983,Victoria,4076.25,4040159.75,1.0089328769734909
1983,Western Australia,1712.25,1371794.75,1.248182353810583
1984,Australian Capital Territory,124.25,245482.75,0.5061455438314911
1984,New South Wales,6491.5,5410049.25,1.1998966552846075
1984,Northern Territory,191.5,143011.75,1.3390508122584333
1984,Queensland,1272.75,2530089.0,0.503045545038139
1984,South Australia,988.0,1361125.75,0.7258697442172407
1984,Tasmania,176.0,438218.5,0.4016261294308661
1984,Victoria,4426.0,4081722.5,1.0843461308307951
1984,Western Australia,1285.75,1394491.0,0.922021009816485
1985,Australian Capital Territory,289.75,252395.5,1.1479998652907837
1985,New South Wales,9283.25,5472695.5,1.6962847649755044
1985,Northern Territory,321.25,149537.5,2.148290562567918
1985,Queensland,2439.75,2577784.5,0.9464522732602357
1985,South Australia,1186.75,1372520.0,0.8646504240375368
1985,Tasmania,181.5,443069.0,0.40964274187541894
1985,Victoria,5984.5,4125006.5,1.4507855927014903
1985,Western Australia,2643.5,1423302.75,1.8572998611855418
1986,Australian Capital Territory,381.5,259732.0,1.4688217085303314
1986,New South Wales,11210.25,5543020.5,2.022408179800165
1986,Northern Territory,264.25,154963.5,1.7052402662562476
1986,Queensland,3129.75,2630013.75,1.1900127898570874
1986,South Australia,1490.75,1383801.5,1.0772860124808363
1986,Tasmania,251.5,446939.0,0.5627166123341216
1986,Victoria,7059.5,4166923.25,1.6941756726620776
1986,Western Australia,3878.25,1463021.0,2.6508505346129687
1987,Australian Capital Territory,363.25,266423.0,1.3634333372118774
1987,New South Wales,14579.75,5629765.25,2.5897616246077044
1987,Northern Territory,246.75,158540.5,1.5563846461945055
1987,Queensland,3837.25,2682351.5,1.4305544966794992
1987,South Australia,1386.25,1394526.5,0.9940650105967869
1987,Tasmania,212.5,449254.0,0.4730063616573253
1987,Victoria,9001.0,4216544.25,2.1346864793367226
1987,Western Australia,4388.25,1500450.5,2.92462163863453
1988,Australian Capital Territory,417.0,272569.5,1.529885038494769
1988,New South Wales,17310.25,5719822.75,3.026361262680736
1988,Northern Territory,270.75,159581.25,1.6966278933145342
1988,Queensland,6241.0,2751289.25,2.2683910824716085
1988,South Australia,1791.0,1407066.5,1.2728609486474165
1988,Tasmania,215.5,451601.5,0.4771906204917388
1988,Victoria,10447.0,4272057.5,2.445425886706815
1988,Western Australia,6506.0,1541924.75,4.2194017574463345
1989,Australian Capital Territory,186.5,277247.0,0.672685367199645
1989,New South Wales,13173.5,5783676.75,2.27770336576988
1989,Northern Territory,208.0,161500.0,1.2879256965944272
1989,Queensland,3966.5,2836383.5,1.3984357192883121
1989,South Australia,1449.5,1420774.75,1.0202180183734262
1989,Tasmania,189.0,456107.5,0.41437599688669885
1989,Victoria,8514.25,4327976.0,1.967259060586288
1989,Western Australia,4682.25,1583139.25,2.957573062508557
1990,Australian Capital Territory,135.5,282888.25,0.47898772748603025
1990,New South Wales,10337.5,5841050.75,1.7698014351270617
1990,Northern Territory,210.5,163926.25,1.2841140451880038
1990,Queensland,2317.5,2906426.0,0.797371066732819
1990,South Australia,1172.75,1433994.0,0.8178207161257299
1990,Tasmania,116.75,462561.75,0.2523987337906777
1990,Victoria,6790.75,4383757.5,1.5490706317582574
1990,Western Australia,3201.5,1615811.5,1.9813573551122763
1991,Australian Capital Territory,84.25,289665.0,0.2908532270036076
1991,New South Wales,8785.25,5906691.25,1.487338617876802
1991,Northern Territory,101.25,166152.0,0.6093817709085657
1991,Queensland,2544.75,2968722.0,0.857187031995586
1991,South Australia,1003.75,1447392.25,0.6934885826561529
1991,Tasmania,71.5,467239.25,0.15302652763011668
1991,Victoria,5369.5,4424568.75,1.213564598809771
1991,Western Australia,2457.0,1639394.5,1.4987240716008259
1992,Australian Capital Territory,-59.25,295244.25,-0.20068130031321524
1992,New South Wales,5786.0,5963196.25,0.9702850212249848
1992,Northern Territory,19.75,169046.0,0.11683210487086355
1992,Queensland,1571.0,3032951.75,0.5179772477422365
1992,South Australia,533.75,1455755.25,0.3666481711125548
1992,Tasmania,10.0,470278.25,0.021264007000111104
1992,Victoria,3497.0,4452103.25,0.7854714510495685
1992,Western Australia,1481.25,1661514.5,0.8915059122264657
1993,Australian Capital Territory,-148.0,299869.25,-0.493548438194313
1993,New South Wales,3909.0,6003827.25,0.6510846893537785
1993,Northern Territory,27.0,172375.25,0.15663501575777267
1993,Queensland,1041.5,3106086.25,0.3353094267746107
1993,South Australia,457.0,1459483.75,0.31312441813757774
1993,Tasmania,29.75,472352.0,0.062982690874602
1993,Victoria,1999.25,4464390.75,0.4478214636566031
1993,Western Australia,1390.0,1682073.0,0.826361281585282
1994,Australian Capital Territory,-118.0,302507.5,-0.3900729733973538
1994,New South Wales,6394.75,6054211.25,1.0562482437328231
1994,Northern Territory,78.75,175362.25,0.4490704242218607
1994,Queensland,1677.25,3175239.0,0.5282279538642602
1994,South Australia,467.25,1463334.25,0.31930503915971353
1994,Tasmania,53.0,473672.5,0.11189165509925107
1994,Victoria,3333.25,4476645.5,0.7445865436519375
1994,Western Australia,1990.25,1708813.0,1.164697365949346
1995,Australian Capital Territory,194.5,306282.0,0.6350356860670885
1995,New South Wales,12040.5,6115522.25,1.9688424811143481
1995,Northern Territory,168.0,180455.25,0.930978732954569
1995,Queensland,3427.5,3245638.5,1.0560325803381985
1995,South Australia,978.0,1465616.75,0.6672958670812134
1995,Tasmania,101.5,474753.75,0.21379504637930716
1995,Victoria,6544.0,4503172.0,1.4531978791838287
1995,Western Australia,3262.0,1740173.5,1.8745257297620035
1996,Australian Capital Territory,33.25,309755.75,0.1073426401285529
1996,New South Wales,11082.5,6186766.5,1.7913234643654323
1996,Northern Territory,143.25,185486.5,0.7722934014065713
1996,Queensland,3177.5,3310469.25,0.9598337154166287
1996,South Australia,869.0,1469838.25,0.5912215170614862
1996,Tasmania,113.75,475536.75,0.23920338438616995
1996,Victoria,5858.0,4539985.25,1.2903125621388307
1996,Western Australia,3085.0,1772165.25,1.7408083134459384
1997,Australian Capital Territory,-96.25,310495.5,-0.3099883895257741
1997,New South Wales,7428.75,6254100.75,1.1878206471170136
1997,Northern Territory,103.25,189982.75,0.5434703940226152
1997,Queensland,2951.75,3362193.0,0.8779240216132744
1997,South Australia,712.5,1476618.5,0.48252138246947335
1997,Tasmania,-0.75,474773.75,-0.0015796998043805075
1997,Victoria,4304.25,4574746.0,0.9408719085168882
1997,Western Australia,2700.25,1801853.5,1.498595751541399
1998,Australian Capital Territory,-8.25,311647.5,-0.026472216205809446
1998,New South Wales,8807.0,6315990.0,1.3943973945493897
1998,Northern Territory,210.25,193264.75,1.087885918151137
1998,Queensland,3120.5,3410387.0,0.914998796324288
