Year,State,Net_Overseas_Migration
1981,Australian Capital Territory,267.5
1981,New South Wales,13289.5
1981,Northern Territory,347.5
1981,Queensland,4527.5
1981,South Australia,2485.5
1981,Tasmania,285.0
1981,Victoria,8371.0
1981,Western Australia,4738.0
1982,Australian Capital Territory,244.75
1982,New South Wales,9636.25
1982,Northern Territory,150.75
1982,Queensland,3541.5
1982,South Australia,1766.75
1982,Tasmania,190.25
1982,Victoria,6240.0
1982,Western Australia,3906.75
1983,Australian Capital Territory,142.75
1983,New South Wales,5021.0
1983,Northern Territory,203.75
1983,Queensland,1144.5
1983,South Australia,1296.0
1983,Tasmania,152.25
1983,Victoria,4076.25
1983,Western Australia,1712.25
1984,Australian Capital Territory,124.25
1984,New South Wales,6491.5
1984,Northern Territory,191.5
1984,Queensland,1272.75
1984,South Australia,988.0
1984,Tasmania,176.0
1984,Victoria,4426.0
1984,Western Australia,1285.75
1985,Australian Capital Territory,289.75
1985,New South Wales,9283.25
1985,Northern Territory,321.25
1985,Queensland,2439.75
1985,South Australia,1186.75
1985,Tasmania,181.5
1985,Victoria,5984.5
1985,Western Australia,2643.5
1986,Australian Capital Territory,381.5
1986,New South Wales,11210.25
1986,Northern Territory,264.25
1986,Queensland,3129.75
1986,South Australia,1490.75
1986,Tasmania,251.5
1986,Victoria,7059.5
1986,Western Australia,3878.25
1987,Australian Capital Territory,363.25
1987,New South Wales,14579.75
1987,Northern Territory,246.75
1987,Queensland,3837.25
1987,South Australia,1386.25
1987,Tasmania,212.5
1987,Victoria,9001.0
1987,Western Australia,4388.25
1988,Australian Capital Territory,417.0
1988,New South Wales,17310.25
1988,Northern Territory,270.75
1988,Queensland,6241.0
1988,South Australia,1791.0
1988,Tasmania,215.5
1988,Victoria,10447.0
1988,Western Australia,6506.0
1989,Australian Capital Territory,186.5
1989,New South Wales,13173.5
1989,Northern Territory,208.0
1989,Queensland,3966.5
1989,South Australia,1449.5
1989,Tasmania,189.0
1989,Victoria,8514.25
1989,Western Australia,4682.25
1990,Australian Capital Territory,135.5
1990,New South Wales,10337.5
1990,Northern Territory,210.5
1990,Queensland,2317.5
1990,South Australia,1172.75
1990,Tasmania,116.75
1990,Victoria,6790.75
1990,Western Australia,3201.5
1991,Australian Capital Territory,84.25
1991,New South Wales,8785.25
1991,Northern Territory,101.25
1991,Queensland,2544.75
1991,South Australia,1003.75
1991,Tasmania,71.5
1991,Victoria,5369.5
1991,Western Australia,2457.0
1992,Australian Capital Territory,-59.25
1992,New South Wales,5786.0
1992,Northern Territory,19.75
1992,Queensland,1571.0
1992,South Australia,533.75
1992,Tasmania,10.0
1992,Victoria,3497.0
1992,Western Australia,1481.25
1993,Australian Capital Territory,-148.0
1993,New South Wales,3909.0
1993,Northern Territory,27.0
1993,Queensland,1041.5
1993,South Australia,457.0
1993,Tasmania,29.75
1993,Victoria,1999.25
1993,Western Australia,1390.0
1994,Australian Capital Territory,-118.0
1994,New South Wales,6394.75
1994,Northern Territory,78.75
1994,Queensland,1677.25
1994,South Australia,467.25
1994,Tasmania,53.0
1994,Victoria,3333.25
1994,Western Australia,1990.25
1995,Australian Capital Territory,194.5
1995,New South Wales,12040.5
1995,Northern Territory,168.0
1995,Queensland,3427.5
1995,South Australia,978.0
1995,Tasmania,101.5
1995,Victoria,6544.0
1995,Western Australia,3262.0
1996,Australian Capital Territory,33.25
1996,New South Wales,11082.5
1996,Northern Territory,143.25
1996,Queensland,3177.5
1996,South Australia,869.0
1996,Tasmania,113.75
1996,Victoria,5858.0
1996,Western Australia,3085.0
1997,Australian Capital Territory,-96.25
1997,New South Wales,7428.75
1997,Northern Territory,103.25
1997,Queensland,2951.75
1997,South Australia,712.5
1997,Tasmania,-0.75
1997,Victoria,4304.25
1997,Western Australia,2700.25
1998,Australian Capital Territory,-8.25
1998,New South Wales,8807.0
1998,Northern Territory,210.25
1998,Queensland,3120.5
1998,South Australia,782.0
1998,Tasmania,128.25
1998,Victoria,5887.0
1998,Western Australia,3269.5
1999,Australian Capital Territory,-121.75
1999,New South Wales,10958.5
1999,Northern Territory,266.75
1999,Queensland,4292.75
1999,South Australia,922.25
1999,Tasmania,28.75
1999,Victoria,6211.5
1999,Western Australia,3498.0
2000,Australian Capital Territory,87.75
2000,New South Wales,11836.25
2000,Northern Territory,175.0
2000,Queensland,3979.25
2000,South Australia,681.5
2000,Tasmania,-2.0
2000,Victoria,7365.75
2000,Western Australia,3741.25
2001,Australian Capital Territory,208.75
2001,New South Wales,14297.5
2001,Northern Territory,199.0
2001,Queensland,6880.75
2001,South Australia,827.5
2001,Tasmania,132.25
2001,Victoria,7390.5
2001,Western Australia,4086.75
2002,Australian Capital Territory,193.5
2002,New South Wales,10223.0
2002,Northern Territory,102.0
2002,Queensland,6983.25
2002,South Australia,667.25
2002,Tasmania,131.25
2002,Victoria,5907.25
2002,Western Australia,3414.5
2003,Australian Capital Territory,182.25
2003,New South Wales,8848.25
2003,Northern Territory,141.0
2003,Queensland,6265.0
2003,South Australia,1061.0
2003,Tasmania,215.0
2003,Victoria,6642.25
2003,Western Australia,4179.75
2004,Australian Capital Territory,75.25
2004,New South Wales,7917.25
2004,Northern Territory,230.5
2004,Queensland,6438.5
2004,South Australia,1267.75
2004,Tasmania,231.75
2004,Victoria,6952.0
2004,Western Australia,3493.5
2005,Australian Capital Territory,168.5
2005,New South Wales,9395.0
2005,Northern Territory,271.75
2005,Queensland,8044.25
2005,South Australia,2183.75
2005,Tasmania,260.5
2005,Victoria,8952.25
2005,Western Australia,4980.0
2006,Australian Capital Territory,257.75
2006,New South Wales,13752.75
2006,Northern Territory,380.0
2006,Queensland,9063.25
2006,South Australia,3077.75
2006,Tasmania,321.0
2006,Victoria,12144.5
2006,Western Australia,6550.75
2007,Australian Capital Territory,469.25
2007,New South Wales,19224.25
2007,Northern Territory,344.25
2007,Queensland,11920.25
2007,South Australia,3457.25
2007,Tasmania,367.25
2007,Victoria,16618.0
2007,Western Australia,8606.75
2008,Australian Capital Territory,831.25
2008,New South Wales,24106.75
2008,Northern Territory,492.5
2008,Queensland,15710.0
2008,South Australia,4404.25
2008,Tasmania,522.25
2008,Victoria,20806.25
2008,Western Australia,12047.25
2009,Australian Capital Territory,917.0
2009,New South Wales,17541.0
2009,Northern Territory,422.5
2009,Queensland,11831.25
2009,South Australia,4293.25
2009,Tasmania,481.5
2009,Victoria,18021.75
2009,Western Australia,8210.25
2010,Australian Capital Territory,500.25
2010,New South Wales,12511.0
2010,Northern Territory,271.75
2010,Queensland,7917.5
2010,South Australia,2723.5
2010,Tasmania,307.5
2010,Victoria,10803.5
2010,Western Australia,7974.25
2011,Australian Capital Territory,762.75
2011,New South Wales,13541.25
2011,Northern Territory,517.25
2011,Queensland,10230.5
2011,South Australia,2608.0
2011,Tasmania,311.75
2011,Victoria,12765.5
